dataset,category,value
household_size,140,0.0
household_size,141,0.0
household_size,142,0.0
household_size,143,0.0
household_size,144,0.0
household_size,145,0.0
household_size,146,0.0
household_size,147,0.0
household_size,148,0.0
household_size,149,0.0
household_size,150,0.0
household_size,151,0.0
household_size,152,0.0
household_size,153,0.0
household_size,154,0.0
household_size,155,0.0
household_size,156,0.0
household_size,157,0.0
household_size,158,0.0
household_size,159,0.0
household_size,160,0.0
household_size,161,0.0
household_size,162,0.0
household_size,163,0.0
household_size,165,0.0
household_size,166,0.0
household_size,167,0.0
household_size,168,0.0
household_size,169,0.0
household_size,170,0.0
household_size,171,0.0
household_size,172,0.0
household_size,173,0.0
household_size,174,0.0
household_size,175,0.0
household_size,176,0.0
household_size,177,0.0
household_size,178,0.0
household_size,179,0.0
household_size,180,0.0
household_size,181,0.0
household_size,182,0.0
household_size,183,0.0
household_size,184,0.0
household_size,185,0.0
household_size,186,0.0
household_size,187,0.0
household_size,188,0.0
household_size,189,0.0
household_size,190,0.0
household_size,191,0.0
household_size,192,0.0
household_size,193,0.0
household_size,194,0.0
household_size,195,0.0
household_size,196,0.0
household_size,197,0.0
household_size,198,0.0
household_size,199,0.0
household_size,200,0.0
household_size,201,0.0
household_size,202,0.0
household_size,203,0.0
household_size,204,0.0
household_size,205,0.0
household_size,206,0.0
household_size,207,0.0
household_size,208,0.0
household_size,209,0.0
household_size,210,0.0
household_size,211,0.0
household_size,212,0.0
household_size,213,0.0
household_size,214,0.0
household_size,215,0.0
household_size,216,0.0
household_size,217,0.0
household_size,218,0.0
household_size,219,0.0
household_size,220,0.0
household_size,221,0.0
household_size,222,0.0
household_size,223,0.0
household_size,224,0.0
household_size,225,0.0
household_size,226,0.0
household_size,227,0.0
household_size,228,0.0
household_size,229,0.0
household_size,230,0.0
household_size,231,0.0
household_size,232,0.0
household_size,233,0.0
household_size,234,0.0
household_size,235,0.0
household_size,236,0.0
household_size,237,0.0
household_size,238,0.0
household_size,239,0.0
household_size,240,0.0
household_size,241,0.0
household_size,242,0.0
household_size,244,0.0
household_size,245,0.0
household_size,246,0.0
household_size,247,0.0
household_size,248,0.0
household_size,249,0.0
household_size,250,0.0
household_size,251,0.0
household_size,255,0.0
household_size,256,0.0
household_size,262,0.0
household_size,Total,2678.47536
main_dwelling,House or brick/concrete block structure on a separate stand or yard,2225.69756
main_dwelling,Traditional dwelling/hut/structure made of traditional materials,111.95769
main_dwelling,Flat or apartment in a  block of flats,48.25908
main_dwelling,Cluster house in complex,1.24969
main_dwelling,Town house (semi-detached house in complex),1.0
main_dwelling,Semi-detached house,3.0
main_dwelling,House/flat/room in back yard,28.61004
main_dwelling,Informal dwelling/shack in back yard,85.87692
main_dwelling,Informal dwelling/shack NOT in back yard; e.g. in an informal/squatter settlement or on farm,149.35291
main_dwelling,Room/flatlet on a property or a larger dwelling/servants'quarters/granny flat,1.7998
main_dwelling,Caravan or tent,0.0
main_dwelling,Other,7.91344
main_dwelling,Unspecified,12.75823
main_dwelling,Not applicable,1.0
main_dwelling,Total,2678.47536
piped_water,Piped (tap) water inside the dwelling,376.34272
piped_water,Piped (tap) water inside the yard,1618.89552
piped_water,Piped (tap) water on community stand: distance less than 200m from dwelling,301.40208
piped_water,Piped (tap) water to community stand: distance less than 200m and 500m from dwelling,33.564
piped_water,Piped (tap) water to community stand: distance less than 500m and 1000m from dwelling,13.86249
piped_water,Piped (tap) water on community stand: distance greater than 1000m (1 km) from dwelling,1.13269
piped_water,No access to piped (tap) water,320.51763
piped_water,Unspecified,12.75823
piped_water,Not applicable,0.0
piped_water,Total,2678.47536
population_group,Black African,22558.297996
population_group,Coloured,35.131805
population_group,Indian or Asian,29.349791
population_group,White,4.450984
population_group,Other,42.932051
population_group,Total,22670.162627
refuse_removal,Removed by local authority at least once a week,51.99662
refuse_removal,Removed by local authority less often,5.16801
refuse_removal,Communal refuse dump,6.42235
refuse_removal,Own refuse dump,2555.89907
refuse_removal,No rubbish disposal,44.43128
refuse_removal,Other,1.7998
refuse_removal,Unspecified,12.75823
refuse_removal,Not applicable,0.0
refuse_removal,Total,2678.47536
sex,Male,10785.09717
sex,Female,11885.065457
sex,Total,22670.162627
sex_of_hh_head,Male,1167.83331
sex_of_hh_head,Female,1509.64205
sex_of_hh_head,Not applicable,1.0
sex_of_hh_head,Unspecified,0.0
sex_of_hh_head,Total,2678.47536
tenure_status,Rented,59.12244
tenure_status,Owned but not yet paid off,172.40029
tenure_status,Occupied rent-free,895.1206
tenure_status,Owned and fully paid off,1524.60699
tenure_status,Other,13.46681
tenure_status,Unspecified,12.75823
tenure_status,Not applicable,1.0
tenure_status,Total,2678.47536
toilet_facilities,None,323.5712
toilet_facilities,Flush toilet (connected to sewerage system),9.66413
toilet_facilities,Flush toilet (with septic tank),17.34848
toilet_facilities,Chemical toilet,63.94666
toilet_facilities,Pit latrine with ventilation (VIP),1358.9207
toilet_facilities,Pit latrine without ventilation,798.90174
toilet_facilities,Bucket latrine,79.34309
toilet_facilities,Other,14.02113
toilet_facilities,Unspecified,12.75823
toilet_facilities,Not applicable,0.0
water_source,Regional/local water scheme (operated by a Water Service Authority or provider),2276.68457
water_source,Borehole,12.98123
water_source,Spring,0.0
water_source,Rain-water tank,4.62255
water_source,Dam / pool / stagnant water,1.24969
water_source,River/stream,3.89896
water_source,Water vendor,24.57911
water_source,Water tanker,227.21978
water_source,Other,127.23947
water_source,Unspecified,0.0
water_source,Not applicable,0.0
water_source,Total,2678.47536
