SuperWEB2(tm)

"Parental Survival"
"Age in completed years by Geography 2016 by Father alive then Mother Alive"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

" 0"
"Father alive then Mother Alive","No","No",
"52502012 : Ward 12",40.025,20.63196,
"52502013 : Ward 13",30.63968,18.9445,
"52502014 : Ward 14",79.53302,35.6118,
"52502015 : Ward 15",53.10866,40.67418,
"52502016 : Ward 16",79.69916,49.85326,
"52502017 : Ward 17",67.24302,34.09886,
"52502018 : Ward 18",48.3194,24.09622,
"52502019 : Ward 19",49.29534,22.18002,
"52502020 : Ward 20",35.6118,26.11532,
"52502021 : Ward 21",19.88973,20.07679,
"52502022 : Ward 22",37.98592,11.8706,
"52502023 : Ward 23",39.17298,29.6765,
"52502024 : Ward 24",53.4177,26.11532,
"52502025 : Ward 25",9.36454,8.29926,
"52502026 : Ward 26",64.10124,30.86356,
"52502027 : Ward 27",37.98592,29.6765,
"52502028 : Ward 28",30.79759,28.42347,
"52502029 : Ward 29",52.23064,28.48944,
"52502030 : Ward 30",72.26122,25.51054,
"52502031 : Ward 31",65.51714,23.24498,
"52502032 : Ward 32",67.66242,34.42474,
"52502033 : Ward 33",46.59444,20.56848,
"52502034 : Ward 34",30.86356,10.61757,
"Total",1477.47283,799.37058,


" 9"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",52.3983,43.19508,
"52502002 : Ward 2",8.34794,7.1994,
"52502003 : Ward 3",5.60545,1.12109,
"52502004 : Ward 4",14.36028,2.37412,
"52502005 : Ward 5",17.84442,5.9353,
"52502006 : Ward 6",68.91046,34.96274,
"52502007 : Ward 7",63.23994,37.85974,
"52502008 : Ward 8",70.03654,36.79886,
"52502009 : Ward 9",49.3603,22.50568,
"52502010 : Ward 10",41.5471,26.11532,
"52502011 : Ward 11",30.86356,17.8059,
"52502012 : Ward 12",44.39236,25.08122,
"52502013 : Ward 13",42.57376,30.75162,
"52502014 : Ward 14",90.21656,54.60476,
"52502015 : Ward 15",58.8317,40.7643,
"52502016 : Ward 16",54.88546,32.81252,
"52502017 : Ward 17",60.07728,35.32444,
"52502018 : Ward 18",29.82266,22.97264,
"52502019 : Ward 19",35.65032,24.7412,
"52502020 : Ward 20",46.29534,23.7412,
"52502021 : Ward 21",44.63687,22.52369,
"52502022 : Ward 22",33.23768,21.36708,
"52502023 : Ward 23",54.60476,37.98592,
"52502024 : Ward 24",39.17298,21.36708,
"52502025 : Ward 25",12.97645,2.37412,
"52502026 : Ward 26",53.4177,30.86356,
"52502027 : Ward 27",40.36004,23.7412,
"52502028 : Ward 28",34.42474,18.92699,
"52502029 : Ward 29",51.04358,35.6118,
"52502030 : Ward 30",58.28206,38.3109,
"52502031 : Ward 31",62.20166,27.38846,
"52502032 : Ward 32",65.28322,17.8059,
"52502033 : Ward 33",65.39966,30.38844,
"52502034 : Ward 34",43.29407,20.18002,
"Total",1543.5952,875.50229,


" 10"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",60.26082,41.04441,
"52502002 : Ward 2",8.38646,8.38646,
"52502003 : Ward 3",4.42924,3.24218,
"52502004 : Ward 4",5.74824,5.78676,
"52502005 : Ward 5",26.19236,10.68354,
"52502006 : Ward 6",70.09754,34.96274,
"52502007 : Ward 7",72.70389,26.40686,
"52502008 : Ward 8",68.84948,32.05062,
"52502009 : Ward 9",77.4955,44.54518,
"52502010 : Ward 10",43.92122,28.48944,
"52502011 : Ward 11",54.59968,34.42474,
"52502012 : Ward 12",66.38431,17.07078,
"52502013 : Ward 13",43.76082,28.36248,
"52502014 : Ward 14",94.9648,49.85652,
"52502015 : Ward 15",57.7682,48.6594,
"52502016 : Ward 16",96.76172,64.64344,
"52502017 : Ward 17",49.40876,34.10394,
"52502018 : Ward 18",59.37638,19.42988,
"52502019 : Ward 19",47.92122,31.6765,
"52502020 : Ward 20",53.4177,27.30238,
"52502021 : Ward 21",34.53985,18.66628,
"52502022 : Ward 22",39.17298,18.99296,
"52502023 : Ward 23",48.66946,39.17298,
"52502024 : Ward 24",46.29534,34.42474,
"52502025 : Ward 25",17.6638,8.17748,
"52502026 : Ward 26",53.04358,41.17298,
"52502027 : Ward 27",48.66946,26.11532,
"52502028 : Ward 28",43.92122,16.61884,
"52502029 : Ward 29",54.60476,30.86356,
"52502030 : Ward 30",90.80642,45.29128,
"52502031 : Ward 31",52.74684,31.00972,
"52502032 : Ward 32",54.60476,30.86356,
"52502033 : Ward 33",80.153,40.89804,
"52502034 : Ward 34",41.2281,13.05766,
"Total",1768.56791,986.45365,


" 11"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",53.55407,29.98378,
"52502002 : Ward 2",10.72206,2.37412,
"52502003 : Ward 3",10.03469,1.12109,
"52502004 : Ward 4",13.09618,7.1558,
"52502005 : Ward 5",38.06296,13.05766,
"52502006 : Ward 6",87.04136,41.84282,
"52502007 : Ward 7",65.43864,48.17402,
"52502008 : Ward 8",54.60476,30.86356,
"52502009 : Ward 9",64.42282,26.86964,
"52502010 : Ward 10",41.5471,28.48944,
"52502011 : Ward 11",58.16594,30.86356,
"52502012 : Ward 12",65.96426,28.7175,
"52502013 : Ward 13",31.9537,37.82552,
"52502014 : Ward 14",103.31274,59.353,
"52502015 : Ward 15",96.1051,53.12368,
"52502016 : Ward 16",84.22524,66.99914,
"52502017 : Ward 17",68.25634,51.83134,
"52502018 : Ward 18",55.99062,30.96126,
"52502019 : Ward 19",43.36004,23.55414,
"52502020 : Ward 20",51.04358,29.6765,
"52502021 : Ward 21",55.51852,30.3164,
"52502022 : Ward 22",45.10828,28.48944,
"52502023 : Ward 23",58.16594,34.42474,
"52502024 : Ward 24",62.91418,36.79886,
"52502025 : Ward 25",13.98661,5.86933,
"52502026 : Ward 26",63.72712,46.10828,
"52502027 : Ward 27",60.54006,37.98592,
"52502028 : Ward 28",54.53879,37.85398,
"52502029 : Ward 29",52.23064,28.48944,
"52502030 : Ward 30",57.8144,36.8917,
"52502031 : Ward 31",74.93512,38.00512,
"52502032 : Ward 32",71.2236,36.79886,
"52502033 : Ward 33",84.9381,29.29154,
"52502034 : Ward 34",42.47097,20.18002,
"Total",1895.01453,1090.3412,


" 12"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",46.53281,35.47218,
"52502002 : Ward 2",14.28324,7.1994,
"52502003 : Ward 3",5.49521,2.12109,
"52502004 : Ward 4",6.01234,3.5997,
"52502005 : Ward 5",28.52796,11.90912,
"52502006 : Ward 6",94.90642,64.26594,
"52502007 : Ward 7",73.59106,36.83308,
"52502008 : Ward 8",70.07506,51.0821,
"52502009 : Ward 9",73.96776,32.81996,
"52502010 : Ward 10",51.04358,37.98592,
"52502011 : Ward 11",62.9091,36.79886,
"52502012 : Ward 12",66.3834,35.34024,
"52502013 : Ward 13",66.13446,43.68232,
"52502014 : Ward 14",98.46001,48.66946,
"52502015 : Ward 15",89.2735,47.55084,
"52502016 : Ward 16",122.25868,66.91724,
"52502017 : Ward 17",94.29316,49.69612,
"52502018 : Ward 18",59.4699,44.64628,
"52502019 : Ward 19",57.60476,25.92826,
"52502020 : Ward 20",65.2883,34.42474,
"52502021 : Ward 21",49.23444,35.73499,
"52502022 : Ward 22",43.92122,28.48944,
"52502023 : Ward 23",55.79182,37.98592,
"52502024 : Ward 24",60.54006,42.73416,
"52502025 : Ward 25",20.16986,5.9353,
"52502026 : Ward 26",73.41066,47.29534,
"52502027 : Ward 27",65.2883,22.55414,
"52502028 : Ward 28",49.72458,29.47859,
"52502029 : Ward 29",84.28126,51.04358,
"52502030 : Ward 30",55.8745,44.1643,
"52502031 : Ward 31",91.81206,43.93702,
"52502032 : Ward 32",74.78478,32.05062,
"52502033 : Ward 33",82.66086,50.44906,
"52502034 : Ward 34",35.90852,19.73993,
"Total",2089.91363,1208.53524,


" 13"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",64.49235,50.09399,
"52502002 : Ward 2",15.32176,8.12236,
"52502003 : Ward 3",7.67142,1,
"52502004 : Ward 4",5.78676,3.56118,
"52502005 : Ward 5",23.73612,18.99296,
"52502006 : Ward 6",88.1465,51.90656,
"52502007 : Ward 7",68.5923,50.18908,
"52502008 : Ward 8",68.84948,41.5471,
"52502009 : Ward 9",60.92852,30.36734,
"52502010 : Ward 10",61.72712,45.10828,
"52502011 : Ward 11",53.4177,39.17298,
"52502012 : Ward 12",70.83266,40.15536,
"52502013 : Ward 13",65.16134,42.62222,
"52502014 : Ward 14",113.95776,64.10124,
"52502015 : Ward 15",89.46876,58.8317,
"52502016 : Ward 16",102.55164,68.23126,
"52502017 : Ward 17",87.18084,61.40632,
"52502018 : Ward 18",66.33154,46.82656,
"52502019 : Ward 19",70.66242,31.86356,
"52502020 : Ward 20",60.54006,33.23768,
"52502021 : Ward 21",63.11609,33.50346,
"52502022 : Ward 22",62.91418,37.98592,
"52502023 : Ward 23",60.54006,43.92122,
"52502024 : Ward 24",72.41066,47.4824,
"52502025 : Ward 25",24.77092,4.74824,
"52502026 : Ward 26",86.46832,65.10124,
"52502027 : Ward 27",54.60476,36.79886,
"52502028 : Ward 28",70.03654,30.86356,
"52502029 : Ward 29",65.2883,45.10828,
"52502030 : Ward 30",71.84348,39.38602,
"52502031 : Ward 31",66.91646,38.35596,
"52502032 : Ward 32",77.15382,49.85144,
"52502033 : Ward 33",103.099,53.30246,
"52502034 : Ward 34",34.50178,18.99296,
"Total",2159.02142,1332.73975,


" 14"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",73.10905,46.53281,
"52502002 : Ward 2",14.28324,8.34794,
"52502003 : Ward 3",14.5299,3.42924,
"52502004 : Ward 4",8.38646,7.16088,
"52502005 : Ward 5",43.85525,15.43178,
"52502006 : Ward 6",88.21,58.8317,
"52502007 : Ward 7",80.695,55.20626,
"52502008 : Ward 8",73.59772,45.10828,
"52502009 : Ward 9",85.90524,45.7841,
"52502010 : Ward 10",55.79182,40.36004,
"52502011 : Ward 11",65.2883,52.23064,
"52502012 : Ward 12",70.7808,45.35214,
"52502013 : Ward 13",43.67724,35.38792,
"52502014 : Ward 14",113.95776,61.72712,
"52502015 : Ward 15",90.50222,54.23224,
"52502016 : Ward 16",122.01978,84.07814,
"52502017 : Ward 17",90.5866,62.51488,
"52502018 : Ward 18",58.15588,36.42216,
"52502019 : Ward 19",66.54006,49.79055,
"52502020 : Ward 20",73.59772,43.92122,
"52502021 : Ward 21",56.84009,26.71883,
"52502022 : Ward 22",52.22556,28.48436,
"52502023 : Ward 23",64.10124,49.85652,
"52502024 : Ward 24",60.54006,33.23768,
"52502025 : Ward 25",23.35184,9.34286,
"52502026 : Ward 26",108.02246,63.91418,
"52502027 : Ward 27",74.78478,45.10828,
"52502028 : Ward 28",74.71373,45.10828,
"52502029 : Ward 29",74.8233,48.66946,
"52502030 : Ward 30",85.87596,47.35622,
"52502031 : Ward 31",101.63274,37.84472,
"52502032 : Ward 32",93.77774,61.72712,
"52502033 : Ward 33",93.49736,49.34392,
"52502034 : Ward 34",52.93356,26.08787,
"Total",2350.59046,1424.65034,


" 15"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",71.76835,54.70261,
"52502002 : Ward 2",20.21854,10.72206,
"52502003 : Ward 3",10.2326,3.42924,
"52502004 : Ward 4",12.98616,5.9353,
"52502005 : Ward 5",46.4109,16.69588,
"52502006 : Ward 6",105.48902,69.5532,
"52502007 : Ward 7",85.34182,47.83426,
"52502008 : Ward 8",87.84244,56.97888,
"52502009 : Ward 9",96.78212,54.215,
"52502010 : Ward 10",66.47536,46.29534,
"52502011 : Ward 11",61.71696,46.29534,
"52502012 : Ward 12",88.35128,42.94682,
"52502013 : Ward 13",72.23333,50.96006,
"52502014 : Ward 14",108.02246,60.54006,
"52502015 : Ward 15",105.48902,71.87164,
"52502016 : Ward 16",118.82508,74.49632,
